Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2012-05-18,38.0506706237793,44.788914427748004,37.82174996120943,41.85275150034609,573576400
2012-05-21,33.87036895751953,36.4880330695126,32.84520175411063,36.35864181767943,168192700
2012-05-22,30.854583740234375,33.432434598145434,30.794865722612162,32.45703208390923,101786600
2012-05-23,31.849891662597656,32.347546219825745,31.212894436834176,31.222847755786916,73600000
2012-05-24,32.875057220458984,33.05421315600395,31.620969468447022,32.79543446955165,50237200
2012-05-25,31.76031494140625,32.795437372445,30.96406837783918,32.74567267412264,37149800
2012-05-29,28.704713821411133,31.541345059558342,28.515604565960945,31.33232916702889,78063400
2012-05-30,28.057764053344727,29.411383138084013,27.72931212636516,28.5653719220225,57267900
2012-05-31,29.461151123046875,29.530822459574104,26.704144330973566,28.416075379933826,111639200
2012-06-01,27.589969635009766,29.013262058355792,27.26151768334542,28.75448144516546,41855500
2012-06-04,26.773813247680664,27.520295040265076,26.315971992794882,27.07240710375525,35230300
2012-06-05,25.748647689819336,27.62978131329522,25.6292097604932,26.574754180920536,42473400
2012-06-06,26.684234619140625,27.04254647818628,25.400286954895886,25.947706163192244,61489200
2012-06-07,26.186580657958984,27.221702984512497,26.02733136132019,26.873344436214627,26159500
2012-06-08,26.972877502441406,27.629781369057195,26.315973635825614,26.425456347993922,38034000
2012-06-11,26.883298873901367,27.93832598266214,26.71409625187735,27.052501495925387,28219600
2012-06-12,27.271467208862305,27.63973238750782,26.833530701435524,27.351091855812506,15816800
2012-06-13,27.142080307006836,27.968186805205505,26.972877679741977,27.530250258449133,17102800
2012-06-14,28.15729522705078,28.18715328494323,27.251562203483825,27.520296114924523,16855000
2012-06-15,29.869226455688477,29.958804426971096,28.21701349398907,28.376262798846742,43563800
2012-06-18,31.262659072875977,31.929518152612467,29.272040847804465,29.81946010033854,42978900
2012-06-19,31.76031494140625,32.02904886851072,30.55599177671086,31.392051617657064,30849000
2012-06-20,31.451766967773438,31.780218884687724,31.003877127253325,31.77026556618712,15553600
2012-06-21,31.690643310546875,32.34754719399904,31.362191368820792,31.521440680057587,21875300
2012-06-22,32.89496612548828,33.29309129788391,31.909612208853794,32.2579688870977,74834000
2012-06-25,31.90961265563965,32.865108526604004,31.402002863887713,32.70585921477661,24352900
2012-06-26,32.944732666015625,33.283137942443965,32.3475486708142,32.536656050040555,24858700
2012-06-27,32.07881164550781,32.74567071285658,31.75035972040847,32.3077322815222,28568000
2012-06-28,31.2128963470459,32.03900098826413,30.75505313920754,31.810080333545745,17713300
2012-06-29,30.95411491394043,31.83993944907224,30.61570965140437,31.770268112385676,19526900
2012-07-02,30.625661849975586,31.581157686828185,30.406692630229095,31.103409768401885,14122000
2012-07-03,31.05364418029785,31.292518132650738,30.655519027974954,30.765003634703895,8763600
2012-07-05,31.322378158569336,31.481627470145547,30.874490181661827,31.173082166266834,10032100
2012-07-06,31.581153869628906,31.750356474253632,31.11335932667878,31.29251524903452,10945600
2012-07-09,32.01908874511719,32.72576102151656,31.839934719563963,31.949417418779614,17785200
2012-07-10,31.322378158569336,32.32764062439512,31.013832854690623,32.27787592642813,14269500
2012-07-11,30.824722290039062,31.411954813701414,30.406692390116735,31.332330161259133,13030300
2012-07-12,30.66547203063965,31.25270453602339,30.45645803638513,30.55598932344026,11300700
2012-07-13,30.575895309448242,30.924253879151504,30.416646003024148,30.89439582069791,8108300
2012-07-16,28.117481231689453,30.356926639523127,28.077667957650853,30.356926639523127,24672100
2012-07-17,27.958232879638672,28.45588743157471,27.022641790446514,28.346402822660313,30438600
2012-07-18,28.973445892333984,29.15260181790135,28.017948255441794,28.177197545190282,16841800
2012-07-19,28.863964080810547,29.36161863392797,28.495698876207012,29.272040662494717,13685100
2012-07-20,28.625089645385742,29.33175818778588,28.585276370568106,28.86396359908726,11869100
2012-07-23,28.615137100219727,28.863964379352073,27.87860858179616,27.98809319210287,12390700
2012-07-24,28.316543579101562,29.31185264130687,27.96818502764943,28.684806869012753,11539800
2012-07-25,29.202369689941406,29.35166567804265,27.94827997276829,28.25682526796439,17230200
2012-07-26,26.724050521850586,28.09757628603977,26.60461259094646,27.619828359226272,64597400
2012-07-27,23.598777770996094,24.42488614370399,22.175487357404165,23.081218483508778,123102300
2012-07-30,23.04140281677246,23.927229111782196,22.921966800673086,23.887415840814906,29285900
2012-07-31,21.608158111572266,23.260372846487297,21.50862872737851,23.260372846487297,56179400
2012-08-01,20.782052993774414,21.478770117136413,20.742241617285938,21.39914546575802,44604400
2012-08-02,19.945995330810547,20.74224185366864,19.72702611322348,20.67257052021874,56374500
2012-08-03,20.991071701049805,22.056052267747457,19.806653192089964,20.264496422626394,80647000
2012-08-06,21.817176818847656,22.04609746956658,21.200084305603653,21.289662281693936,27778900
2012-08-07,20.622804641723633,22.344690892062186,20.40383731493908,22.095863607733662,36782900
2012-08-08,20.622804641723633,21.05078787451294,20.12515007306658,20.61285132254231,29537400
2012-08-09,20.91144371032715,21.070693009059656,20.51332046349588,20.652663125286477,15610700
2012-08-10,21.707691192626953,21.717644511551214,21.030880692989,21.309567927663885,25794700
2012-08-13,21.498676300048828,22.344689389558425,21.299613726610783,22.04609552940136,24973100
2012-08-14,20.284399032592773,21.49867737410678,20.155009682274827,21.309568109733018,39308800
2012-08-15,21.100555419921875,21.30956943693051,20.304306935199353,20.54318091109563,47861100
2012-08-16,19.776792526245117,20.383929782462413,19.597636585642775,20.344118405884917,157565300
2012-08-17,18.960636138916016,19.98580511657801,18.91087144709996,19.91613378867501,129293400
2012-08-20,19.916133880615234,20.035569900885655,18.66204427736795,18.960636226445313,101186600
2012-08-21,19.07012176513672,19.88627490460477,19.000450433484776,19.488151653449798,70640600
2012-08-22,19.348812103271484,19.438390086494174,18.871062226616576,19.269187440229285,49892200
2012-08-23,19.348812103271484,19.637450794898815,19.269187440229285,19.408530125952705,32813700
2012-08-24,19.31894874572754,19.58768264814201,19.159699447645195,19.428433350059667,29622200
2012-08-27,19.06016731262207,19.438385802519218,19.01040262108885,19.398572530571606,20704000
2012-08-28,19.249279022216797,19.2890904008605,18.861109063033396,19.01040505514997,25417000
2012-08-29,19.010404586791992,19.28908992563657,18.98054462974372,19.229371909941516,16124700
2012-08-30,19.000450134277344,19.35876200387505,18.970590179010408,19.179606069076197,30647500
2012-08-31,17.975282669067383,18.61228181426596,17.945424609624734,18.592375175703168,58764200
2012-09-04,17.64682960510254,18.184297421737828,17.467673666224112,17.99518816421044,46622400
2012-09-05,18.492843627929688,18.662046256592184,18.094720354136022,18.184298328039787,60781800
2012-09-06,18.87105941772461,19.169653283489474,18.632185464153576,18.652092101551517,46066500
2012-09-07,18.890966415405273,19.32890295450508,18.691905732833703,19.01040434366939,36371700
2012-09-10,18.72176170349121,19.109933503264617,18.462981136442693,18.970588952760796,24797800
2012-09-11,19.338857650756836,19.488153647919127,18.76157840290148,18.831249741683774,50508200
2012-09-12,20.831819534301758,21.0607401691311,20.184869006200756,20.66261691325367,121584000
2012-09-13,20.61284828186035,21.379236660155623,20.513318901532127,20.861675529483396,65041600
2012-09-14,21.896799087524414,21.976423735542994,20.801958753467922,21.03087937922117,72819800
2012-09-17,21.419050216674805,22.64327983569149,21.399143580983168,22.56365519132621,50667600
2012-09-18,21.767412185668945,21.87689490246237,21.2697576051849,21.498678256591184,36760500
2012-09-19,23.180747985839844,23.260372631499695,21.667877819901378,21.886845120865644,78782800
2012-09-20,22.484031677246094,23.13098218253674,22.43426698391657,22.91201487412492,57248900
2012-09-21,22.75276756286621,23.13098420101851,22.493986958487675,22.862250277425243,51218100
2012-09-24,20.69247817993164,21.876894703883472,20.264494940855958,21.677834012537687,79106500
2012-09-25,20.184871673583984,21.11050765391909,20.125151753509453,21.100556232308346,46291700
